truckid,driverid,rdate,miles,gas,mpg
A3,A3,13-Jun,13652,2899,4.709210072
A3,A3,13-May,12075,2603,4.638878217
A3,A3,13-Apr,12277,2792,4.397206304
A3,A3,13-Mar,9642,1864,5.172746781
A3,A3,13-Feb,8606,1796,4.791759465
A3,A3,13-Jan,13089,2796,4.681330472
A3,A3,12-Dec,10762,2099,5.12720343
A3,A3,12-Nov,10250,1857,5.519655358
A3,A3,12-Oct,9312,2046,4.551319648
A3,A3,12-Sep,8437,1728,4.882523148
A3,A3,12-Aug,13905,2789,4.985657942
A3,A3,12-Jul,14079,2965,4.748397976
A3,A3,12-Jun,12761,2708,4.712333826
A3,A3,12-May,13264,2754,4.816267248
A3,A3,12-Apr,12957,2529,5.123368921
A3,A3,12-Mar,12598,2581,4.881053855
A3,A3,12-Feb,13291,2644,5.026853253
A3,A3,12-Jan,9433,1881,5.014885699
A3,A3,11-Dec,13980,2503,5.585297643
A3,A3,11-Nov,8592,1909,4.500785752
A3,A3,11-Oct,11978,2572,4.657076205
A3,A3,11-Sep,10921,2299,4.750326229
A3,A3,11-Aug,13774,2956,4.659675237
A3,A3,11-Jul,9451,1940,4.871649485
A3,A3,11-Jun,13420,3064,4.379895561
A3,A3,11-May,11378,3064,3.713446475
A3,A3,11-Apr,13573,3064,4.429830287
A3,A3,11-Mar,11635,3064,3.79732376
A3,A3,11-Feb,9577,3064,3.125652742
A3,A3,11-Jan,10780,3064,3.518276762
A3,A3,10-Dec,12490,3064,4.076370757
A3,A3,10-Nov,15127,3064,4.937010444
A3,A3,10-Oct,11524,3064,3.761096606
A3,A3,10-Sep,14234,3064,4.645561358
A3,A3,10-Aug,14551,3064,4.749020888
A3,A3,10-Jul,12213,3064,3.985966057
A3,A3,10-Jun,14079,3064,4.59497389
A3,A3,10-May,11040,3064,3.603133159
A3,A3,10-Apr,10460,3064,3.41383812
A3,A3,10-Mar,15435,3064,5.037532637
A3,A3,10-Feb,12811,3064,4.18113577
A3,A3,10-Jan,12616,3064,4.117493473
A3,A3,9-Dec,10743,3064,3.506201044
A3,A3,9-Nov,11732,3064,3.828981723
A3,A3,9-Oct,9429,3064,3.077349869
A3,A3,9-Sep,9025,3064,2.945496084
A3,A3,9-Aug,9547,3064,3.115861619
A3,A3,9-Jul,11267,3064,3.677219321
A3,A3,9-Jun,11205,3064,3.656984334
A3,A3,9-May,9821,3064,3.205287206
A3,A3,9-Apr,15224,3064,4.968668407
A3,A3,9-Mar,11209,3064,3.658289817
A3,A3,9-Feb,14203,3064,4.635443864
A3,A3,9-Jan,10150,3064,3.312663185
A4,A4,13-Jun,12687,2439,5.201722017
A4,A4,13-May,10680,2083,5.127220355
A4,A4,13-Apr,11071,2599,4.259715275
A4,A4,13-Mar,12302,2361,5.210504024
A4,A4,13-Feb,8845,1816,4.870594714
A4,A4,13-Jan,14130,2929,4.824172072
A4,A4,12-Dec,12316,2702,4.558105107
A4,A4,12-Nov,11999,2377,5.047959613
A4,A4,12-Oct,14679,3455,4.248625181
A4,A4,12-Sep,13835,3232,4.280631188
A4,A4,12-Aug,13385,2966,4.512811868
A4,A4,12-Jul,11443,2582,4.431835786
A4,A4,12-Jun,9290,2092,4.440726577
A4,A4,12-May,11702,2129,5.496477219
A4,A4,12-Apr,15261,3560,4.286797753
A4,A4,12-Mar,11947,2155,5.543851508
A4,A4,12-Feb,9782,2048,4.776367188
A4,A4,12-Jan,11507,2639,4.360363774
A4,A4,11-Dec,12157,2582,4.708365608
A4,A4,11-Nov,10861,2021,5.374072241
A4,A4,11-Oct,13122,2981,4.401878564
A4,A4,11-Sep,11069,1971,5.615930999
A4,A4,11-Aug,12312,2363,5.210325857
A4,A4,11-Jul,10386,1897,5.474960464
A4,A4,11-Jun,8714,2965,2.938954469
A4,A4,11-May,10235,2965,3.451939292
A4,A4,11-Apr,10090,2965,3.403035413
A4,A4,11-Mar,14085,2965,4.750421585
A4,A4,11-Feb,14434,2965,4.868128162
A4,A4,11-Jan,14256,2965,4.808094435
A4,A4,10-Dec,9737,2965,3.283979764
A4,A4,10-Nov,13118,2965,4.424283305
A4,A4,10-Oct,9862,2965,3.32613828
A4,A4,10-Sep,13570,2965,4.576728499
A4,A4,10-Aug,14179,2965,4.782124789
A4,A4,10-Jul,13989,2965,4.718043845
A4,A4,10-Jun,12950,2965,4.36762226
A4,A4,10-May,11157,2965,3.762900506
A4,A4,10-Apr,8673,2965,2.925126476
A4,A4,10-Mar,15177,2965,5.118718381
A4,A4,10-Feb,9579,2965,3.2306914
A4,A4,10-Jan,14282,2965,4.816863406
A4,A4,9-Dec,14325,2965,4.831365936
A4,A4,9-Nov,12724,2965,4.291399663
A4,A4,9-Oct,12773,2965,4.307925801
A4,A4,9-Sep,8998,2965,3.034738617
A4,A4,9-Aug,11910,2965,4.016863406
A4,A4,9-Jul,12707,2965,4.285666105
A4,A4,9-Jun,13465,2965,4.541315346
A4,A4,9-May,14419,2965,4.86306914
A4,A4,9-Apr,14684,2965,4.952445194
A4,A4,9-Mar,13090,2965,4.414839798
A4,A4,9-Feb,15090,2965,5.089376054
A4,A4,9-Jan,14249,2965,4.805733558
A5,A5,13-Jun,10233,1825,5.607123288
A5,A5,13-May,14634,3450,4.24173913
A5,A5,13-Apr,9281,2028,4.57642998
A5,A5,13-Mar,13547,2790,4.855555556
A5,A5,13-Feb,12990,3056,4.25065445
A5,A5,13-Jan,13769,2713,5.075193513
A5,A5,12-Dec,11423,2083,5.483917427
A5,A5,12-Nov,12570,2547,4.935217903
A5,A5,12-Oct,14204,2770,5.127797834
A5,A5,12-Sep,15279,3122,4.893978219
A5,A5,12-Aug,14473,2745,5.272495446
A5,A5,12-Jul,11312,2453,4.611496127
A5,A5,12-Jun,13969,2943,4.746517159
A5,A5,12-May,13422,2520,5.326190476
A5,A5,12-Apr,14092,2619,5.380679649
A5,A5,12-Mar,10749,2289,4.69593709
A5,A5,12-Feb,10649,2410,4.418672199
A5,A5,12-Jan,12587,2269,5.547377699
A5,A5,11-Dec,8498,1736,4.89516129
A5,A5,11-Nov,15339,2612,5.872511485
A5,A5,11-Oct,10502,2099,5.003334921
A5,A5,11-Sep,13867,3133,4.426109161
A5,A5,11-Aug,11594,2613,4.437045542
A5,A5,11-Jul,10571,2044,5.171722114
A5,A5,11-Jun,13508,2310,5.847619048
A5,A5,11-May,15678,2310,6.787012987
A5,A5,11-Apr,14318,2310,6.198268398
A5,A5,11-Mar,14088,2310,6.098701299
A5,A5,11-Feb,13217,2310,5.721645022
A5,A5,11-Jan,12969,2310,5.614285714
A5,A5,10-Dec,14377,2310,6.223809524
A5,A5,10-Nov,11064,2310,4.78961039
A5,A5,10-Oct,12704,2310,5.4995671
A5,A5,10-Sep,10887,2310,4.712987013
A5,A5,10-Aug,13956,2310,6.041558442
A5,A5,10-Jul,14447,2310,6.254112554
A5,A5,10-Jun,12146,2310,5.258008658
A5,A5,10-May,10212,2310,4.420779221
A5,A5,10-Apr,10402,2310,4.503030303
A5,A5,10-Mar,13295,2310,5.755411255
A5,A5,10-Feb,15016,2310,6.5004329
A5,A5,10-Jan,10200,2310,4.415584416
A5,A5,9-Dec,9269,2310,4.012554113
A5,A5,9-Nov,10744,2310,4.651082251
A5,A5,9-Oct,10467,2310,4.531168831
A5,A5,9-Sep,11495,2310,4.976190476
A5,A5,9-Aug,15537,2310,6.725974026
A5,A5,9-Jul,14058,2310,6.085714286
A5,A5,9-Jun,13265,2310,5.742424242
A5,A5,9-May,12275,2310,5.313852814
A5,A5,9-Apr,14289,2310,6.185714286
A5,A5,9-Mar,13046,2310,5.647619048
A5,A5,9-Feb,9582,2310,4.148051948
A5,A5,9-Jan,10509,2310,4.549350649
A6,A6,13-Jun,14488,2883,5.025320846
A6,A6,13-May,13317,3091,4.308314461
A6,A6,13-Apr,10927,2161,5.056455345
A6,A6,13-Mar,10972,1866,5.879957128
A6,A6,13-Feb,14322,2983,4.801206839
A6,A6,13-Jan,12956,2435,5.32073922
A6,A6,12-Dec,14293,2596,5.50577812
A6,A6,12-Nov,12593,2384,5.282298658
A6,A6,12-Oct,11899,2690,4.423420074
A6,A6,12-Sep,8693,1540,5.644805195
A6,A6,12-Aug,13617,3045,4.471921182
A6,A6,12-Jul,10513,2583,4.070073558
A6,A6,12-Jun,11623,2164,5.371072089
A6,A6,12-May,13088,2274,5.755496922
A6,A6,12-Apr,11661,2373,4.91403287
A6,A6,12-Mar,11573,2232,5.185035842
A6,A6,12-Feb,10744,2292,4.687609075
A6,A6,12-Jan,13503,2849,4.73955774
A6,A6,11-Dec,9839,1828,5.38238512
A6,A6,11-Nov,9902,1996,4.960921844
A6,A6,11-Oct,13531,2893,4.677151746
A6,A6,11-Sep,13636,2322,5.872523686
A6,A6,11-Aug,9734,1923,5.061882475
A6,A6,11-Jul,11385,2767,4.11456451
A6,A6,11-Jun,13574,1915,7.088250653
A6,A6,11-May,9115,1915,4.759791123
A6,A6,11-Apr,9261,1915,4.836031332
A6,A6,11-Mar,10725,1915,5.600522193
A6,A6,11-Feb,13198,1915,6.891906005
A6,A6,11-Jan,15596,1915,8.144125326
A6,A6,10-Dec,13735,1915,7.17232376
A6,A6,10-Nov,10332,1915,5.395300261
A6,A6,10-Oct,12365,1915,6.45691906
A6,A6,10-Sep,12739,1915,6.652219321
A6,A6,10-Aug,13941,1915,7.279895561
A6,A6,10-Jul,14539,1915,7.592167102
A6,A6,10-Jun,9379,1915,4.897650131
A6,A6,10-May,8992,1915,4.695561358
A6,A6,10-Apr,12684,1915,6.623498695
A6,A6,10-Mar,10226,1915,5.339947781
A6,A6,10-Feb,13618,1915,7.111227154
A6,A6,10-Jan,12659,1915,6.610443864
A6,A6,9-Dec,14266,1915,7.449608355
A6,A6,9-Nov,14728,1915,7.690861619
A6,A6,9-Oct,10162,1915,5.306527415
A6,A6,9-Sep,11256,1915,5.877806789
A6,A6,9-Aug,11260,1915,5.879895561
A6,A6,9-Jul,12715,1915,6.639686684
A6,A6,9-Jun,9193,1915,4.800522193
A6,A6,9-May,13367,1915,6.980156658
A6,A6,9-Apr,11053,1915,5.771801567
A6,A6,9-Mar,12388,1915,6.468929504
A6,A6,9-Feb,9924,1915,5.182245431
A6,A6,9-Jan,12680,1915,6.621409922
A7,A7,13-Jun,10938,2231,4.9027342
A7,A7,13-May,12080,2142,5.639589169
A7,A7,13-Apr,13539,2346,5.771099744
A7,A7,13-Mar,13453,2413,5.575217571
A7,A7,13-Feb,12754,2444,5.218494272
A7,A7,13-Jan,11147,2083,5.351416227
A7,A7,12-Dec,11749,2442,4.811220311
A7,A7,12-Nov,15816,2728,5.797653959
A7,A7,12-Oct,13330,2369,5.626846771
A7,A7,12-Sep,10803,2134,5.062324274
A7,A7,12-Aug,9275,1863,4.978529254
A7,A7,12-Jul,11223,2307,4.864759428
A7,A7,12-Jun,13215,2367,5.583016477
A7,A7,12-May,8849,1812,4.883554084
A7,A7,12-Apr,10577,2343,4.514297909
A7,A7,12-Mar,13126,2614,5.021423106
A7,A7,12-Feb,11993,2153,5.57036693
A7,A7,12-Jan,12873,2623,4.90773923
A7,A7,11-Dec,14063,2799,5.024294391
A7,A7,11-Nov,9100,1611,5.648665425
A7,A7,11-Oct,13889,2768,5.017702312
A7,A7,11-Sep,10944,2152,5.085501859
A7,A7,11-Aug,12789,2490,5.136144578
A7,A7,11-Jul,14445,3161,4.569756406
A7,A7,11-Jun,11350,2407,4.715413378
A7,A7,11-May,14389,2407,5.977980889
A7,A7,11-Apr,14091,2407,5.854175322
A7,A7,11-Mar,12740,2407,5.292895721
A7,A7,11-Feb,9969,2407,4.141670129
A7,A7,11-Jan,10815,2407,4.493144994
A7,A7,10-Dec,11890,2407,4.939759036
A7,A7,10-Nov,14014,2407,5.822185293
A7,A7,10-Oct,12011,2407,4.990029082
A7,A7,10-Sep,10561,2407,4.387619443
A7,A7,10-Aug,10518,2407,4.369754882
A7,A7,10-Jul,10741,2407,4.462401329
A7,A7,10-Jun,10007,2407,4.157457416
A7,A7,10-May,13537,2407,5.624013295
A7,A7,10-Apr,15374,2407,6.387203988
A7,A7,10-Mar,14594,2407,6.063149148
A7,A7,10-Feb,14774,2407,6.137931034
A7,A7,10-Jan,14656,2407,6.088907354
A7,A7,9-Dec,8060,2407,3.348566681
A7,A7,9-Nov,12866,2407,5.345243041
A7,A7,9-Oct,10530,2407,4.374740341
A7,A7,9-Sep,9826,2407,4.082260075
A7,A7,9-Aug,9790,2407,4.067303698
A7,A7,9-Jul,10223,2407,4.247195679
A7,A7,9-Jun,13132,2407,5.455754051
A7,A7,9-May,14683,2407,6.100124636
A7,A7,9-Apr,12253,2407,5.090569173
A7,A7,9-Mar,12422,2407,5.160781055
A7,A7,9-Feb,9853,2407,4.093477358
A7,A7,9-Jan,12148,2407,5.046946406
A8,A8,13-Jun,11392,2280,4.996491228
A8,A8,13-May,8922,1834,4.864776445
A8,A8,13-Apr,11422,2202,5.187102634
A8,A8,13-Mar,13142,2478,5.303470541
A8,A8,13-Feb,14133,2813,5.02417348
A8,A8,13-Jan,10184,1819,5.598680594
A8,A8,12-Dec,9660,1690,5.715976331
A8,A8,12-Nov,12201,2359,5.172106825
A8,A8,12-Oct,10650,2155,4.94199536
A8,A8,12-Sep,14691,2952,4.976626016
A8,A8,12-Aug,12366,2235,5.532885906
A8,A8,12-Jul,13869,2759,5.026821312
A8,A8,12-Jun,13025,2686,4.849218168
A8,A8,12-May,10661,1967,5.419928826
A8,A8,12-Apr,9916,2125,4.666352941
A8,A8,12-Mar,13638,2768,4.927023121
A8,A8,12-Feb,13326,2402,5.547876769
A8,A8,12-Jan,11289,2129,5.302489432
A8,A8,11-Dec,13562,2859,4.743616649
A8,A8,11-Nov,11060,1992,5.552208835
A8,A8,11-Oct,11088,2446,4.53311529
A8,A8,11-Sep,13408,2699,4.967765839
A8,A8,11-Aug,10579,2308,4.583622184
A8,A8,11-Jul,12385,2239,5.531487271
A8,A8,11-Jun,11363,2501,4.543382647
A8,A8,11-May,12901,2501,5.158336665
A8,A8,11-Apr,13806,2501,5.520191923
A8,A8,11-Mar,13871,2501,5.546181527
A8,A8,11-Feb,12250,2501,4.898040784
A8,A8,11-Jan,12457,2501,4.980807677
A8,A8,10-Dec,11351,2501,4.538584566
A8,A8,10-Nov,13023,2501,5.207117153
A8,A8,10-Oct,9836,2501,3.932826869
A8,A8,10-Sep,13387,2501,5.352658936
A8,A8,10-Aug,11932,2501,4.770891643
A8,A8,10-Jul,9773,2501,3.907636945
A8,A8,10-Jun,14765,2501,5.903638545
A8,A8,10-May,12951,2501,5.178328669
A8,A8,10-Apr,13626,2501,5.448220712
A8,A8,10-Mar,13724,2501,5.487405038
A8,A8,10-Feb,12001,2501,4.798480608
A8,A8,10-Jan,10313,2501,4.12355058
A8,A8,9-Dec,10837,2501,4.333066773
A8,A8,9-Nov,12641,2501,5.054378249
A8,A8,9-Oct,10699,2501,4.277888844
A8,A8,9-Sep,10444,2501,4.175929628
A8,A8,9-Aug,12712,2501,5.082766893
A8,A8,9-Jul,11768,2501,4.705317873
A8,A8,9-Jun,12787,2501,5.112754898
A8,A8,9-May,11397,2501,4.556977209
A8,A8,9-Apr,14780,2501,5.909636146
A8,A8,9-Mar,10938,2501,4.37345062
A8,A8,9-Feb,9773,2501,3.907636945
A8,A8,9-Jan,15316,2501,6.12395042
A9,A9,13-Jun,12601,2515,5.010337972
A9,A9,13-May,9707,1869,5.193686463
A9,A9,13-Apr,11914,2479,4.805970149
A9,A9,13-Mar,11531,2207,5.224739465
A9,A9,13-Feb,12913,2342,5.513663535
A9,A9,13-Jan,9648,1663,5.80156344
A9,A9,12-Dec,12035,2497,4.81978374
A9,A9,12-Nov,8453,1746,4.841351661
A9,A9,12-Oct,13856,3082,4.49578196
A9,A9,12-Sep,9692,1843,5.258817146
A9,A9,12-Aug,13051,2720,4.798161765
A9,A9,12-Jul,14617,2788,5.242826399
A9,A9,12-Jun,14482,2755,5.256624319
A9,A9,12-May,10494,2314,4.535004322
A9,A9,12-Apr,11086,2309,4.801212646
A9,A9,12-Mar,15225,2887,5.273640457
A9,A9,12-Feb,13531,2934,4.611792774
A9,A9,12-Jan,12320,2384,5.167785235
A9,A9,11-Dec,13974,2903,4.813641061
A9,A9,11-Nov,15563,2861,5.439706396
A9,A9,11-Oct,10620,2366,4.488588335
A9,A9,11-Sep,12734,2258,5.639503986
A9,A9,11-Aug,13800,3091,4.464574571
A9,A9,11-Jul,14059,3227,4.356678029
A9,A9,11-Jun,12302,2132,5.770168856
A9,A9,11-May,12309,2132,5.773452158
A9,A9,11-Apr,13391,2132,6.280956848
A9,A9,11-Mar,12058,2132,5.655722326
A9,A9,11-Feb,14120,2132,6.622889306
A9,A9,11-Jan,9893,2132,4.640243902
A9,A9,10-Dec,14365,2132,6.737804878
A9,A9,10-Nov,13410,2132,6.289868668
A9,A9,10-Oct,10675,2132,5.007035647
A9,A9,10-Sep,10776,2132,5.054409006
A9,A9,10-Aug,10894,2132,5.109756098
A9,A9,10-Jul,10624,2132,4.983114447
A9,A9,10-Jun,10498,2132,4.924015009
A9,A9,10-May,8565,2132,4.017354597
A9,A9,10-Apr,14132,2132,6.628517824
A9,A9,10-Mar,13023,2132,6.108348968
A9,A9,10-Feb,12539,2132,5.881332083
A9,A9,10-Jan,13137,2132,6.161819887
A9,A9,9-Dec,9953,2132,4.668386492
A9,A9,9-Nov,13285,2132,6.231238274
A9,A9,9-Oct,11823,2132,5.545497186
A9,A9,9-Sep,12052,2132,5.652908068
A9,A9,9-Aug,11633,2132,5.456378987
A9,A9,9-Jul,11316,2132,5.307692308
A9,A9,9-Jun,14756,2132,6.92120075
A9,A9,9-May,11811,2132,5.539868668
A9,A9,9-Apr,14841,2132,6.961069418
A9,A9,9-Mar,12615,2132,5.916979362
A9,A9,9-Feb,13636,2132,6.39587242
A9,A9,9-Jan,13118,2132,6.152908068
A10,A10,13-Jun,13699,2583,5.303523035
A10,A10,13-May,11583,2077,5.576793452
A10,A10,13-Apr,12833,2473,5.189243833
A10,A10,13-Mar,13168,2436,5.405582923
A10,A10,13-Feb,12751,2622,4.863081617
A10,A10,13-Jan,9391,2104,4.463403042
A10,A10,12-Dec,11971,2472,4.84263754
A10,A10,12-Nov,14276,2762,5.16871832
A10,A10,12-Oct,11132,2298,4.844212359
A10,A10,12-Sep,13841,2988,4.632195448
A10,A10,12-Aug,14740,3110,4.739549839
A10,A10,12-Jul,15351,3106,4.942369607
A10,A10,12-Jun,11393,2332,4.885506003
A10,A10,12-May,10254,1887,5.434022258
A10,A10,12-Apr,13728,2881,4.765012149
A10,A10,12-Mar,9443,2056,4.592898833
A10,A10,12-Feb,11215,2156,5.201762523
A10,A10,12-Jan,14100,2763,5.103148751
A10,A10,11-Dec,11466,2758,4.157360406
A10,A10,11-Nov,12994,2911,4.463758159
A10,A10,11-Oct,10937,2480,4.410080645
A10,A10,11-Sep,11992,2288,5.241258741
A10,A10,11-Aug,11840,2438,4.856439705
A10,A10,11-Jul,10210,2041,5.00244978
A10,A10,11-Jun,13328,2195,6.071981777
A10,A10,11-May,14832,2195,6.757175399
A10,A10,11-Apr,12827,2195,5.843735763
A10,A10,11-Mar,11954,2195,5.446013667
A10,A10,11-Feb,11950,2195,5.444191344
A10,A10,11-Jan,13292,2195,6.055580866
A10,A10,10-Dec,14176,2195,6.458314351
A10,A10,10-Nov,13526,2195,6.162186788
A10,A10,10-Oct,12092,2195,5.508883827
A10,A10,10-Sep,15044,2195,6.853758542
A10,A10,10-Aug,11687,2195,5.324373576
A10,A10,10-Jul,12447,2195,5.670615034
A10,A10,10-Jun,12002,2195,5.467881549
A10,A10,10-May,15542,2195,7.080637813
A10,A10,10-Apr,13672,2195,6.228701595
A10,A10,10-Mar,13771,2195,6.2738041
A10,A10,10-Feb,13568,2195,6.181321185
A10,A10,10-Jan,10435,2195,4.753986333
A10,A10,9-Dec,10993,2195,5.008200456
A10,A10,9-Nov,11864,2195,5.40501139
A10,A10,9-Oct,9031,2195,4.114350797
A10,A10,9-Sep,11072,2195,5.044191344
A10,A10,9-Aug,14045,2195,6.398633257
A10,A10,9-Jul,14839,2195,6.760364465
A10,A10,9-Jun,12902,2195,5.877904328
A10,A10,9-May,9940,2195,4.528473804
A10,A10,9-Apr,13086,2195,5.961731207
A10,A10,9-Mar,12030,2195,5.480637813
A10,A10,9-Feb,14468,2195,6.591343964
A10,A10,9-Jan,10654,2195,4.853758542
A11,A11,13-Jun,12447,2596,4.794684129
A11,A11,13-May,15726,3145,5.000317965
A11,A11,13-Apr,11461,2512,4.5625
A11,A11,13-Mar,14566,3360,4.335119048
A11,A11,13-Feb,11557,2524,4.578843106
A11,A11,13-Jan,15319,3025,5.064132231
A11,A11,12-Dec,15166,2951,5.139274822
A11,A11,12-Nov,12052,2725,4.422752294
A11,A11,12-Oct,8542,1951,4.378267555
A11,A11,12-Sep,10500,2105,4.988123515
A11,A11,12-Aug,9041,1990,4.54321608
A11,A11,12-Jul,9225,1619,5.697961705
A11,A11,12-Jun,11125,2407,4.62193602
A11,A11,12-May,11534,2713,4.251382234
A11,A11,12-Apr,9663,2203,4.386291421
A11,A11,12-Mar,14289,2889,4.946002077
A11,A11,12-Feb,11401,2267,5.029113366
A11,A11,12-Jan,11482,2132,5.385553471
A11,A11,11-Dec,12973,2740,4.734671533
A11,A11,11-Nov,13168,2848,4.623595506
A11,A11,11-Oct,9434,1807,5.220807969
A11,A11,11-Sep,13087,2588,5.056800618
A11,A11,11-Aug,11873,2572,4.616251944
A11,A11,11-Jul,12903,2693,4.791310806
A11,A11,11-Jun,13661,2000,6.8305
A11,A11,11-May,11651,2000,5.8255
A11,A11,11-Apr,15536,2000,7.768
A11,A11,11-Mar,14425,2000,7.2125
A11,A11,11-Feb,11662,2000,5.831
A11,A11,11-Jan,12083,2000,6.0415
A11,A11,10-Dec,14091,2000,7.0455
A11,A11,10-Nov,10043,2000,5.0215
A11,A11,10-Oct,13763,2000,6.8815
A11,A11,10-Sep,9530,2000,4.765
A11,A11,10-Aug,13776,2000,6.888
A11,A11,10-Jul,11376,2000,5.688
A11,A11,10-Jun,13342,2000,6.671
A11,A11,10-May,14164,2000,7.082
A11,A11,10-Apr,12957,2000,6.4785
A11,A11,10-Mar,12238,2000,6.119
A11,A11,10-Feb,11416,2000,5.708
A11,A11,10-Jan,9169,2000,4.5845
A11,A11,9-Dec,12965,2000,6.4825
A11,A11,9-Nov,12525,2000,6.2625
A11,A11,9-Oct,10043,2000,5.0215
A11,A11,9-Sep,10513,2000,5.2565
A11,A11,9-Aug,10926,2000,5.463
